algorithm,n_patrons,waiting_mean_mean,waiting_mean_std,waiting_median_mean,waiting_median_std,waiting_std_mean,waiting_std_std,waiting_min_mean,waiting_min_std,waiting_max_mean,waiting_max_std,response_mean_mean,response_mean_std,response_median_mean,response_median_std,response_std_mean,response_std_std,response_min_mean,response_min_std,response_max_mean,response_max_std,turnaround_mean_mean,turnaround_mean_std,turnaround_median_mean,turnaround_median_std,turnaround_std_mean,turnaround_std_std,turnaround_min_mean,turnaround_min_std,turnaround_max_mean,turnaround_max_std,throughput_mean,throughput_std
FCFS,10,37.51293070073558,13.813124845065694,7.333333333333333,11.846237095944574,55.23603884836308,14.198746787687744,0.0,0.0,210.66666666666666,36.66515148384544,37.51293070073558,13.813124845065694,7.333333333333333,11.846237095944574,55.23603884836308,14.198746787687744,0.0,0.0,210.66666666666666,36.66515148384544,95.29552200283906,9.412653351893908,80.16666666666667,10.39631344916713,65.742702139459,8.805119635873355,22.0,2.6457513110645907,252.0,32.357379374726875,10.663735621872288,2.157899089588601
FCFS,20,227.8044898239824,49.9186460331126,206.5,81.08483212044038,181.00717881448165,43.78719097854762,0.0,0.0,661.0,150.52242357868147,227.8044898239824,49.9186460331126,206.5,81.08483212044038,181.00717881448165,43.78719097854762,0.0,0.0,661.0,150.52242357868147,287.5214717900362,46.0809717711606,263.8333333333333,83.68442706581274,189.24428645643647,44.28028328261922,23.666666666666668,2.5166114784235836,726.0,99.71459271340379,15.396814566421469,1.783081131382601
FCFS,30,504.1338280990738,69.79824412494798,501.6666666666667,67.92888438163352,317.89879561405536,64.03126698257665,0.3333333333333333,0.5773502691896258,1087.3333333333333,265.7448651118838,504.1338280990738,69.79824412494798,501.6666666666667,67.92888438163352,317.89879561405536,64.03126698257665,0.3333333333333333,0.5773502691896258,1087.3333333333333,265.7448651118838,563.836040872734,71.5286059430427,555.3333333333334,72.2933837452179,319.98987644537095,65.5234346174618,25.333333333333332,3.055050463303893,1163.3333333333333,262.14944847039703,16.185087456854074,0.2158447839667298
FCFS,50,1496.8160422567828,77.05853467786527,1655.3333333333333,111.28941249433092,799.7167068730026,96.21065067654507,0.0,0.0,2744.3333333333335,247.26975822638178,1496.8160422567828,77.05853467786527,1655.3333333333333,111.28941249433092,799.7167068730026,96.21065067654507,0.0,0.0,2744.3333333333335,247.26975822638178,1560.93645449201,77.77213821902788,1729.0,125.60652849274993,803.6989845068719,99.14610739059235,26.333333333333332,4.725815626252608,2791.6666666666665,267.7336985389276,15.338325830735073,0.368835513521506
SJF,10,34.30780745902697,11.415456752376487,10.666666666666666,9.29157324317757,55.52178998574541,8.460897880850103,0.0,0.0,237.0,13.0,34.30780745902697,11.415456752376487,10.666666666666666,9.29157324317757,55.52178998574541,8.460897880850103,0.0,0.0,237.0,13.0,92.30943347528712,7.976255887919085,69.66666666666667,3.0550504633038913,74.75925490513755,7.885841155351796,21.333333333333332,0.5773502691896255,317.3333333333333,9.073771725877474,10.690149245434652,2.103932058840932
SJF,20,152.1283690869087,34.411216290687776,49.5,2.7838821814150108,315.0183143981613,84.83071440536706,0.0,0.0,1891.3333333333333,389.16620271207177,152.1283690869087,34.411216290687776,49.5,2.7838821814150108,315.0183143981613,84.83071440536706,0.0,0.0,1891.3333333333333,389.16620271207177,211.69800506836395,30.397173167029205,102.33333333333333,5.859465277082315,348.9850140917543,84.21331947514146,23.333333333333332,2.081665999466132,2096.0,387.1214279783541,15.751228460370214,1.8735384010996032
SJF,30,327.3512274465325,42.621909762273425,61.333333333333336,3.0550504633038926,790.9479309249451,179.1710662919481,0.0,0.0,4207.666666666667,1026.0586402995364,327.3512274465325,42.621909762273425,61.333333333333336,3.0550504633038926,790.9479309249451,179.1710662919481,0.0,0.0,4207.666666666667,1026.0586402995364,386.7186730418786,44.375711988747625,105.66666666666667,6.429100507328634,825.8642610701,178.98776805118607,23.0,1.7320508075688772,4413.666666666667,1027.4966342199539,15.919882902091073,0.14938281383280383
SJF,50,1057.1922808330216,118.32879910708608,63.5,2.598076211353316,2249.4338265170754,199.46379221399647,0.0,0.0,9631.0,904.7364257064042,1057.1922808330216,118.32879910708608,63.5,2.598076211353316,2249.4338265170754,199.46379221399647,0.0,0.0,9631.0,904.7364257064042,1121.8133344022233,119.37465657691392,113.5,8.231038816577165,2287.447682099551,196.57391154179717,21.333333333333332,0.5773502691896255,9842.333333333334,907.2465670000266,15.13818999610676,0.1972717593907798
PRIORITY,10,36.073725642018324,15.677207343508217,4.0,6.928203230275509,76.01380068670456,28.692046417849546,0.0,0.0,392.0,178.53851125177448,36.073725642018324,15.677207343508217,4.0,6.928203230275509,76.01380068670456,28.692046417849546,0.0,0.0,392.0,178.53851125177448,93.8254871596335,11.519724936258537,68.33333333333333,2.309401076758505,88.17886818286634,19.537215043116106,20.333333333333332,0.5773502691896255,445.3333333333333,144.5348862155201,10.617625766878602,2.127006843460603
PRIORITY,20,191.1243860993242,46.33866288493318,55.666666666666664,5.131601439446883,374.7104551197753,151.01195077798457,0.0,0.0,1888.3333333333333,893.9699845818836,191.1243860993242,46.33866288493318,55.666666666666664,5.131601439446883,374.7104551197753,151.01195077798457,0.0,0.0,1888.3333333333333,893.9699845818836,250.66448118026088,42.595798738368956,116.5,13.481468762712764,379.0815022656707,145.62418407439688,22.0,1.7320508075688772,1981.6666666666667,830.105013437055,15.28379768065514,1.5976720841760126
