patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
1,1,215,25,2,219,249,4,4,34,0
0,0,215,25,1,283,309,68,68,94,0
2,2,343,25,3,346,372,3,3,29,0
0,4,459,20,1,496,519,37,37,60,0
0,6,523,25,1,561,589,38,38,66,0
4,8,625,25,5,632,659,7,7,34,0
2,5,473,70,3,519,691,46,144,218,1
3,7,578,60,4,591,714,13,72,136,1
1,3,351,200,2,372,797,21,240,446,2
5,10,777,25,6,839,865,62,62,88,0
1,11,809,25,2,866,891,57,57,82,0
4,12,811,40,5,892,932,81,81,121,0
5,15,966,25,6,1015,1042,49,49,76,0
1,16,993,40,2,1043,1084,50,50,91,0
6,17,1043,20,7,1084,1107,41,41,64,0
5,20,1143,25,6,1189,1216,46,46,73,0
0,9,740,60,1,797,1279,57,475,539,1
3,13,825,75,4,933,1357,108,454,532,1
2,14,844,75,3,975,1393,131,474,549,1
5,23,1366,25,6,1393,1420,27,27,54,0
4,18,1045,100,5,1107,1485,62,333,440,1
2,25,1474,40,3,1529,1570,55,55,96,0
4,29,1607,40,5,1692,1736,85,85,129,0
11,31,1753,40,12,1780,1823,27,27,70,0
12,32,1821,25,13,1824,1851,3,3,30,0
13,33,1877,25,14,1936,1963,59,59,86,0
11,34,1934,25,12,1964,1989,30,30,55,0
1,21,1196,100,2,1216,2050,20,752,854,1
12,35,2002,25,13,2050,2077,48,48,75,0
7,22,1267,75,8,1279,2113,12,768,846,1
3,24,1468,60,4,1486,2299,18,767,831,1
8,26,1515,70,9,1570,2330,55,743,815,1
5,27,1522,100,6,1611,2392,89,768,870,1
9,28,1589,50,10,1651,2403,62,763,814,1
10,30,1720,70,11,1739,2434,19,642,714,1
16,44,2535,25,17,2597,2623,62,62,88,0
11,36,2090,75,12,2113,2742,23,574,652,1
18,47,2726,25,19,2742,2770,16,16,44,0
13,37,2114,100,14,2155,2831,41,615,717,1
18,51,2922,25,19,2954,2979,32,32,57,0
1,38,2172,100,2,2196,3084,24,811,912,1
20,53,3030,20,21,3084,3106,54,54,76,0
12,39,2178,65,13,2236,3133,58,886,955,1
20,54,3111,25,21,3133,3159,22,22,48,0
20,57,3311,25,21,3323,3349,12,12,38,0
14,41,2425,70,15,2475,3381,50,885,956,1
8,42,2482,60,9,2515,3402,33,858,920,1
22,58,3382,40,23,3402,3443,20,20,61,0
15,43,2485,50,16,2556,3454,71,917,969,1
10,45,2584,65,11,2624,3480,40,829,896,1
17,46,2662,50,18,2665,3492,3,777,830,1
16,48,2774,50,17,2831,3502,57,677,728,1
20,59,3500,25,21,3502,3529,2,2,29,0
19,49,2829,100,20,2872,3590,43,659,761,1
22,62,3554,25,23,3673,3701,119,119,147,0
15,63,3555,20,16,3701,3721,146,146,166,0
23,67,3716,25,24,3844,3871,128,128,155,0
15,68,3726,20,16,3871,3893,145,145,167,0
11,50,2854,100,12,2913,4077,59,1121,1223,1
13,52,2952,60,14,2981,4139,29,1124,1187,1
25,73,4119,25,26,4140,4166,21,21,47,0
28,78,4282,25,29,4331,4357,49,49,75,0
29,79,4331,25,30,4357,4383,26,26,52,0
12,55,3185,70,13,3241,4417,56,1157,1232,1
21,56,3208,100,22,3282,4492,74,1168,1284,1
29,80,4492,20,30,4492,4517,0,0,25,0
28,81,4509,25,29,4518,4544,9,9,35,0
14,60,3531,50,15,3590,4611,59,1022,1080,1
21,83,4620,25,22,4695,4720,75,75,100,0
14,85,4729,25,15,4762,4788,33,33,59,0
19,66,3712,60,20,3803,5029,91,1243,1317,1
22,69,3802,65,23,3893,5056,91,1187,1254,1
24,70,3887,70,25,3934,5098,47,1127,1211,1
15,71,3897,75,16,3976,5135,79,1161,1238,1
15,89,5226,25,16,5226,5252,0,0,26,0
23,72,4022,100,24,4077,5327,55,1189,1305,1
26,74,4140,100,27,4167,5436,27,1188,1296,1
15,91,5409,40,16,5436,5486,27,27,77,0
23,92,5453,25,24,5486,5513,33,33,60,0
11,75,4200,60,12,4208,5538,8,1272,1338,1
27,76,4232,75,28,4249,5574,17,1266,1342,1
26,93,5569,20,27,5575,5608,6,6,39,0
13,77,4250,70,14,4289,5645,39,1317,1395,1
23,95,5621,25,24,5696,5723,75,75,102,0
27,97,5663,40,28,5773,5813,110,110,150,0
29,82,4521,60,30,4544,5942,23,1336,1421,1
27,100,5925,20,28,5942,5977,17,17,52,0
28,84,4695,50,29,4720,5989,25,1241,1294,1
21,86,4821,65,22,4870,6065,49,1175,1244,1
28,103,6091,25,29,6117,6143,26,26,52,0
22,87,5115,65,23,5135,6220,20,1036,1105,1
19,88,5143,60,20,5177,6244,34,1028,1101,1
24,90,5260,75,25,5327,6280,67,943,1020,1
28,105,6306,20,29,6373,6407,67,67,101,0
11,96,5654,65,12,5723,6572,69,841,918,1
13,98,5797,75,14,5813,6608,16,725,811,1
23,99,5830,100,24,5863,6684,33,733,854,1
11,109,6633,25,12,6684,6711,51,51,78,0
6,19,1112,200,7,1149,6852,37,1520,5740,1
27,101,5981,70,28,5989,6891,8,822,910,1
6,111,6863,25,7,6892,6917,29,29,54,0
29,102,6054,75,30,6065,6953,11,811,899,1
21,104,6117,60,22,6143,6986,26,786,869,1
19,106,6356,65,20,6408,7013,52,585,657,1
24,107,6407,75,25,6453,7050,46,564,643,1
29,113,7065,20,30,7114,7144,49,49,79,0
19,114,7065,40,20,7144,7189,79,79,124,0
6,115,7073,20,7,7189,7220,116,116,147,0
24,116,7131,20,25,7221,7242,90,90,111,0
28,108,6411,70,29,6495,7412,84,918,1001,1
13,110,6700,75,14,6711,7449,11,662,749,1
27,112,7050,75,28,7060,7485,10,345,435,1
3,40,2410,200,4,2434,7570,24,950,5160,1
13,120,7544,40,14,7570,7618,26,26,74,0
3,121,7585,25,4,7618,7644,33,33,59,0
29,117,7148,70,30,7243,7719,95,490,571,1
6,118,7224,75,7,7290,7757,66,454,533,1
19,119,7306,65,20,7331,7833,25,452,527,1
27,122,7601,60,28,7644,7858,43,191,257,1
6,124,7840,25,7,7858,7885,18,18,45,0
3,123,7749,100,4,7757,7960,8,87,211,1
6,127,7996,25,7,8053,8079,57,57,83,0
19,125,7893,75,20,7960,8116,67,145,223,1
27,126,7977,50,28,8002,8184,25,139,207,1
3,128,8083,100,4,8116,8250,33,50,167,1
19,129,8234,50,20,8250,8319,16,16,85,1
10,61,3531,200,11,3632,8400,101,4663,4869,2
10,131,8416,25,11,8448,8474,32,32,58,0
3,130,8384,50,4,8400,8491,16,42,107,1
17,64,3593,200,18,3721,8583,128,4775,4990,2
10,132,8583,100,11,8583,8734,0,43,151,1
17,133,8599,50,18,8624,8751,25,92,152,1
20,65,3630,200,21,3762,8835,132,4996,5205,2
26,94,5613,200,27,5646,8918,33,3080,3305,2
26,136,8943,20,27,9017,9042,74,74,99,0
