patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,689,25,1,692,718,3,3,29,-2
1,1,981,20,2,982,1002,1,1,21,-2
1,2,1006,75,2,1007,1083,1,1,77,-2
2,3,1153,50,3,1154,1205,1,1,52,-2
1,4,1164,25,2,1206,1232,42,42,68,-2
2,5,1306,70,3,1307,1377,1,1,71,-2
2,6,1529,60,3,1530,1590,1,1,61,-2
3,7,2331,20,4,2332,2353,1,1,22,-2
3,8,2357,40,4,2359,2400,2,2,43,-2
3,9,2511,65,4,2513,2581,2,2,70,-2
3,10,2632,20,4,2634,2655,2,2,23,-2
3,11,2660,75,4,2661,2736,1,1,76,-2
3,12,2817,50,4,2818,2868,1,1,51,-2
3,13,2970,20,4,2971,2991,1,1,21,-2
4,14,3103,25,5,3104,3129,1,1,26,-2
5,15,3189,25,6,3190,3217,1,1,28,-2
4,16,3230,25,5,3231,3256,1,1,26,-2
5,17,3368,25,6,3369,3395,1,1,27,-2
4,18,3407,50,5,3408,3459,1,1,52,-2
6,19,3413,25,7,3459,3485,46,46,72,-2
7,20,3458,60,8,3485,3547,27,27,89,-2
8,21,3523,65,9,3547,3614,24,24,91,-2
5,22,3546,70,6,3615,3686,69,69,140,-2
4,23,3559,25,5,3686,3711,127,127,152,-2
6,24,3587,25,7,3711,3738,124,124,151,-2
8,25,3666,75,9,3738,3815,72,72,149,-2
5,26,3837,70,6,3838,3909,1,1,72,-2
6,27,3839,25,7,3909,3935,70,70,96,-2
4,28,3863,75,5,3935,4011,72,72,148,-2
8,29,3896,20,9,4011,4032,115,115,136,-2
8,30,4035,200,9,4037,4238,2,2,203,-2
5,31,4059,50,6,4238,4303,179,179,244,-2
6,32,4085,50,7,4303,4360,218,218,275,-2
4,33,4121,25,5,4360,4387,239,239,266,-2
9,34,4197,65,10,4387,4454,190,190,257,-2
5,35,4407,50,6,4454,4505,47,47,98,-2
6,36,4471,75,7,4505,4583,34,34,112,-2
4,37,4489,25,5,4583,4609,94,94,120,-2
9,38,4505,60,10,4609,4675,104,104,170,-2
6,39,4675,200,7,4675,4881,0,0,206,-2
9,40,4790,25,10,4881,4907,91,91,117,-2
9,41,5008,200,10,5009,5221,1,1,213,-2
9,42,5237,25,10,5238,5264,1,1,27,-2
9,43,5427,25,10,5428,5455,1,1,28,-2
9,44,5567,70,10,5568,5650,1,1,83,-2
