patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,218,25,1,221,250,3,3,32,-1
1,1,218,25,2,289,315,71,71,97,-1
2,2,346,25,3,347,374,1,1,28,-1
0,3,353,200,1,374,575,21,21,222,-1
1,4,466,20,2,576,597,110,110,131,-1
2,5,475,70,3,597,669,122,122,194,-1
3,6,581,25,4,670,697,89,89,116,-1
0,7,586,60,1,698,760,112,112,174,-1
1,8,602,25,2,760,786,158,158,184,-1
4,9,628,60,5,786,848,158,158,220,-1
5,10,780,25,6,849,875,69,69,95,-1
2,11,820,25,3,875,902,55,55,82,-1
3,12,848,40,4,903,944,55,55,96,-1
0,13,871,75,1,944,1021,73,73,150,-1
1,14,938,75,2,1022,1098,84,84,160,-1
4,15,961,25,5,1098,1124,137,137,163,-1
5,16,977,40,6,1124,1165,147,147,188,-1
2,17,1004,20,3,1165,1186,161,161,182,-1
6,18,1047,100,7,1186,1287,139,139,240,-1
3,19,1055,200,4,1288,1489,233,233,434,-1
1,20,1180,25,2,1490,1517,310,310,337,-1
4,21,1225,100,5,1517,1619,292,292,394,-1
7,22,1271,75,8,1620,1695,349,349,424,-1
5,23,1276,25,6,1695,1722,419,419,446,-1
6,24,1409,60,7,1722,1783,313,313,374,-1
3,25,1500,40,4,1784,1825,284,284,325,-1
8,26,1518,70,9,1825,1896,307,307,378,-1
9,27,1591,100,10,1896,1998,305,305,407,-1
1,28,1669,50,2,1998,2049,329,329,380,-1
10,29,1721,40,11,2049,2091,328,328,370,-1
4,30,1740,70,5,2091,2162,351,351,422,-1
11,31,1746,40,12,2162,2204,416,416,458,-1
5,32,1823,25,6,2204,2231,381,381,408,-1
12,33,1825,25,13,2232,2258,407,407,433,-1
13,34,1880,25,14,2259,2285,379,379,405,-1
6,35,1895,25,7,2286,2313,391,391,418,-1
3,36,1935,75,4,2313,2390,378,378,455,-1
8,37,2047,100,9,2390,2492,343,343,445,-1
10,38,2201,100,11,2492,2593,291,291,392,-1
11,39,2314,65,12,2594,2659,280,280,345,-1
5,40,2383,200,6,2659,2861,276,276,478,-1
13,41,2387,70,14,2861,2933,474,474,546,-1
12,42,2409,60,13,2933,2995,524,524,586,-1
6,43,2414,50,7,2996,3047,582,582,633,-1
14,44,2427,25,15,3047,3073,620,620,646,-1
15,45,2488,65,16,3074,3139,586,586,651,-1
3,46,2502,50,4,3142,3193,640,640,691,-1
16,47,2537,25,17,3193,3220,656,656,683,-1
17,48,2664,50,18,3221,3272,557,557,608,-1
11,49,2711,100,12,3272,3373,561,561,662,-1
10,50,2715,100,11,3373,3474,658,658,759,-1
18,51,2728,25,19,3474,3500,746,746,772,-1
19,52,2832,60,20,3500,3561,668,668,729,-1
20,53,3034,20,21,3561,3582,527,527,548,-1
13,54,3084,25,14,3582,3608,498,498,524,-1
12,55,3106,70,13,3608,3680,502,502,574,-1
6,56,3148,100,7,3681,3781,533,533,633,-1
15,57,3192,25,16,3781,3808,589,589,616,-1
21,58,3209,40,22,3808,3849,599,599,640,-1
14,59,3225,25,15,3849,3875,624,624,650,-1
3,60,3295,50,4,3875,3927,580,580,632,-1
16,61,3371,200,17,3927,4129,556,556,758,-1
17,62,3373,25,18,4129,4155,756,756,782,-1
22,63,3386,20,23,4155,4176,769,769,790,-1
11,64,3495,200,12,4176,4384,681,681,889,-1
