patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,389,25,1,391,419,2,2,30,-1
0,1,520,25,1,520,546,0,0,26,-1
0,2,697,75,1,697,774,0,0,77,-1
0,3,855,200,1,855,1056,0,0,201,-1
1,4,996,20,2,1056,1078,60,60,82,-1
0,5,1068,25,1,1078,1106,10,10,38,-1
1,6,1084,65,2,1106,1171,22,22,87,-1
2,7,1123,50,3,1172,1224,49,49,101,-1
0,8,1207,25,1,1224,1250,17,17,43,-1
3,9,1302,100,4,1302,1403,0,0,101,-1
2,10,1325,200,3,1403,1604,78,78,279,-1
5,12,1455,25,6,1604,1630,149,149,175,-1
3,13,1523,25,4,1630,1656,107,107,133,-1
2,16,1616,25,3,1656,1683,40,40,67,-1
4,11,1419,40,5,1683,1724,264,264,305,-1
8,17,1695,25,9,1724,1750,29,29,55,-1
6,14,1560,50,7,1750,1801,190,190,241,-1
7,15,1600,65,8,1801,1867,201,201,267,-1
4,20,1835,25,5,1867,1893,32,32,58,-1
3,19,1807,40,4,1893,1934,86,86,127,-1
6,23,1903,25,7,1935,1961,32,32,58,-1
8,22,1901,40,9,1961,2002,60,60,101,-1
7,24,1918,60,8,2002,2063,84,84,145,-1
4,25,1994,60,5,2064,2124,70,70,130,-1
6,27,2112,50,7,2125,2176,13,13,64,-1
11,28,2146,20,12,2176,2196,30,30,50,-1
7,29,2174,25,8,2197,2223,23,23,49,-1
11,30,2200,20,12,2223,2245,23,23,45,-1
4,31,2237,25,5,2245,2272,8,8,35,-1
11,32,2250,20,12,2272,2294,22,22,44,-1
6,33,2277,25,7,2294,2319,17,17,42,-1
11,35,2297,20,12,2319,2343,22,22,46,-1
5,18,1731,65,6,2343,2408,612,612,677,-1
4,37,2373,65,5,2408,2475,35,35,102,-1
5,39,2459,20,6,2475,2496,16,16,37,-1
14,38,2419,25,15,2496,2521,77,77,102,-1
9,21,1891,75,10,2522,2597,631,631,706,-1
15,41,2543,25,16,2597,2623,54,54,80,-1
12,34,2279,75,13,2623,2699,344,344,420,-1
10,26,2088,100,11,2699,2801,611,611,713,-1
17,45,2733,20,18,2801,2822,68,68,89,-1
9,42,2709,25,10,2822,2849,113,113,140,-1
17,47,2826,20,18,2849,2871,23,23,45,-1
15,43,2724,70,16,2871,2941,147,147,217,-1
10,49,2921,70,11,2941,3012,20,20,91,-1
18,50,2954,40,19,3012,3053,58,58,99,-1
13,36,2343,100,14,3053,3154,710,710,811,-1
15,51,3092,25,16,3154,3180,62,62,88,-1
10,52,3163,70,11,3180,3251,17,17,88,-1
4,40,2526,100,5,3251,3354,725,725,828,-1
13,54,3275,25,14,3354,3380,79,79,105,-1
15,55,3331,40,16,3380,3422,49,49,91,-1
10,56,3401,50,11,3422,3472,21,21,71,-1
12,46,2810,100,13,3472,3573,662,662,763,-1
15,60,3532,25,16,3573,3600,41,41,68,-1
10,61,3573,25,11,3600,3626,27,27,53,-1
21,63,3625,20,22,3626,3647,1,1,22,-1
13,58,3482,40,14,3647,3688,165,165,206,-1
21,64,3651,25,22,3688,3715,37,37,64,-1
19,59,3529,50,20,3715,3766,186,186,237,-1
23,66,3722,25,24,3766,3792,44,44,70,-1
15,68,3751,25,16,3793,3818,42,42,67,-1
13,69,3799,25,14,3818,3845,19,19,46,-1
10,67,3726,50,11,3846,3896,120,120,170,-1
19,71,3868,25,20,3896,3923,28,28,55,-1
4,57,3475,60,5,3923,3984,448,448,509,-1
15,75,3968,25,16,3984,4011,16,16,43,-1
25,74,3963,40,26,4011,4052,48,48,89,-1
26,77,4031,20,27,4052,4074,21,21,43,-1
27,78,4062,50,28,4074,4125,12,12,63,-1
26,80,4077,20,27,4125,4146,48,48,69,-1
19,79,4074,25,20,4146,4171,72,72,97,-1
4,81,4095,25,5,4171,4198,76,76,103,-1
22,65,3677,60,23,4198,4259,521,521,582,-1
23,72,3893,65,24,4259,4325,366,366,432,-1
19,86,4322,25,20,4325,4351,3,3,29,-1
25,83,4163,65,26,4351,4417,188,188,254,-1
22,87,4369,20,23,4417,4438,48,48,69,-1
23,88,4376,40,24,4438,4479,62,62,103,-1
19,90,4451,20,20,4479,4500,28,28,49,-1
22,89,4442,25,23,4500,4527,58,58,85,-1
19,92,4503,20,20,4527,4548,24,24,45,-1
25,91,4467,25,26,4548,4575,81,81,108,-1
28,84,4208,65,29,4575,4641,367,367,433,-1
23,93,4590,20,24,4641,4661,51,51,71,-1
24,73,3910,70,25,4661,4738,751,751,828,-1
22,95,4678,20,23,4738,4762,60,60,84,-1
23,94,4665,25,24,4762,4788,97,97,123,-1
22,99,4766,25,23,4788,4814,22,22,48,-1
25,98,4730,40,26,4814,4855,84,84,125,-1
28,96,4692,50,29,4855,4913,163,163,221,-1
24,101,4896,20,25,4913,4946,17,17,50,-1
23,100,4888,25,24,4946,4972,58,58,84,-1
13,76,3996,70,14,4972,5044,976,976,1048,-1
25,103,4977,25,26,5044,5070,67,67,93,-1
28,104,5020,50,29,5070,5128,50,50,108,-1
23,105,5128,25,24,5128,5154,0,0,26,-1
26,82,4149,70,27,5154,5228,1005,1005,1079,-1
13,106,5195,25,14,5228,5255,33,33,60,-1
25,107,5228,75,26,5255,5330,27,27,102,-1
28,108,5229,75,29,5330,5406,101,101,177,-1
17,48,2875,100,18,5406,5514,2531,2531,2639,-1
13,109,5415,65,14,5514,5597,99,99,182,-1
21,70,3816,100,22,5614,5718,1798,1798,1902,-1
17,110,5640,20,18,5718,5743,78,78,103,-1
13,111,5666,20,14,5743,5772,77,77,106,-1
17,112,5746,75,18,5772,5847,26,26,101,-1
27,85,4226,100,28,5847,5955,1621,1621,1729,-1
24,102,4950,100,25,5955,6063,1005,1005,1113,-1
16,44,2728,200,17,6063,6271,3335,3335,3543,-1
18,53,3164,200,19,6271,6481,3107,3107,3317,-1
16,114,6288,75,17,6481,6559,193,193,271,-1
18,115,6497,60,19,6559,6625,62,62,128,-1
20,62,3613,200,21,6625,6829,3012,3012,3216,-1
18,117,6740,25,19,6829,6856,89,89,116,-1
16,116,6641,70,17,6856,6931,215,215,290,-1
29,97,4706,200,30,6931,7135,2225,2225,2429,-1
18,119,6964,75,19,7135,7212,171,171,248,-1
29,121,7148,20,30,7212,7236,64,64,88,-1
27,113,6079,200,28,7236,7437,1157,1157,1358,-1
20,118,6845,200,21,7438,7645,593,593,800,-1
27,122,7455,50,28,7645,7696,190,190,241,-1
16,120,7083,200,17,7696,7904,613,613,821,-1
27,123,7805,50,28,7904,7961,99,99,156,-1
16,124,7920,25,17,7961,7987,41,41,67,-1
27,125,8068,40,28,8068,8110,0,0,42,-1
27,126,8226,50,28,8226,8284,0,0,58,-1
