patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,300,25,1,304,330,4,4,30,-2
1,1,408,20,2,409,430,1,1,22,-2
2,2,426,75,3,430,506,4,4,80,-2
1,3,433,50,2,507,557,74,74,124,-2
0,4,482,25,1,557,583,75,75,101,-2
2,5,588,70,3,590,661,2,2,73,-2
3,7,659,20,4,663,684,4,4,25,-2
1,6,659,60,2,686,747,27,27,88,-2
0,8,685,40,1,748,789,63,63,104,-2
3,9,689,65,4,790,856,101,101,167,-2
1,10,859,20,2,860,881,1,1,22,-2
1,11,885,75,2,887,964,2,2,79,-2
0,12,901,50,1,964,1035,63,63,134,-2
4,13,939,20,5,1048,1069,109,109,130,-2
5,14,996,25,6,1071,1097,75,75,101,-2
1,15,1055,25,2,1099,1125,44,44,70,-2
4,16,1074,25,5,1127,1153,53,53,79,-2
0,17,1150,25,1,1155,1181,5,5,31,-2
6,18,1154,50,7,1181,1232,27,27,78,-2
5,19,1200,25,6,1232,1258,32,32,58,-2
4,20,1306,60,5,1307,1368,1,1,62,-2
0,21,1332,65,1,1368,1435,36,36,103,-2
6,22,1335,70,7,1435,1507,100,100,172,-2
5,23,1360,25,6,1507,1533,147,147,173,-2
4,24,1479,25,5,1534,1559,55,55,80,-2
0,25,1486,75,1,1559,1637,73,73,151,-2
6,26,1658,70,7,1659,1730,1,1,72,-2
4,27,1661,25,5,1731,1756,70,70,95,-2
5,28,1685,75,6,1757,1832,72,72,147,-2
6,29,1881,20,7,1883,1903,2,2,22,-2
4,30,1907,200,5,1908,2108,1,1,201,-2
6,31,1908,50,7,2109,2161,201,201,253,-2
5,32,1944,50,6,2161,2213,217,217,269,-2
7,33,1979,25,8,2213,2239,234,234,260,-2
4,34,2120,65,5,2239,2305,119,119,185,-2
6,35,2261,50,7,2305,2356,44,44,95,-2
5,36,2313,75,6,2356,2433,43,43,120,-2
8,37,2333,25,9,2433,2460,100,100,127,-2
8,38,2561,60,9,2562,2623,1,1,62,-2
9,39,2670,200,10,2673,2874,3,3,204,-2
10,40,2731,25,11,2874,2900,143,143,169,-2
8,41,2734,200,9,2900,3101,166,166,367,-2
9,42,2884,25,10,3101,3128,217,217,244,-2
10,43,3001,25,11,3128,3155,127,127,154,-2
11,44,3105,70,12,3155,3228,50,50,123,-2
8,45,3112,200,9,3228,3429,116,116,317,-2
12,46,3192,25,13,3429,3455,237,237,263,-2
10,47,3257,40,11,3455,3497,198,198,240,-2
9,48,3279,65,10,3498,3564,219,219,285,-2
13,49,3309,25,14,3564,3590,255,255,281,-2
14,50,3347,75,15,3591,3668,244,244,321,-2
15,51,3375,25,16,3669,3694,294,294,319,-2
11,52,3379,50,12,3694,3747,315,315,368,-2
16,53,3416,25,17,3747,3773,331,331,357,-2
8,54,3440,65,9,3773,3839,333,333,399,-2
17,55,3460,25,18,3839,3866,379,379,406,-2
18,56,3526,20,19,3866,3888,340,340,362,-2
12,57,3608,25,13,3888,3915,280,280,307,-2
10,58,3609,100,11,3915,4016,306,306,407,-2
9,59,3615,60,10,4016,4080,401,401,465,-2
13,60,3744,25,14,4081,4109,337,337,365,-2
14,61,3779,60,15,4109,4170,330,330,391,-2
15,62,3796,25,16,4170,4197,374,374,401,-2
11,63,3849,25,12,4197,4224,348,348,375,-2
8,64,3891,75,9,4224,4300,333,333,409,-2
18,65,3893,20,19,4300,4325,407,407,432,-2
16,66,3925,25,17,4326,4352,401,401,427,-2
17,67,3967,200,18,4352,4566,385,385,599,-2
12,68,4015,75,13,4566,4643,551,551,628,-2
10,69,4138,25,11,4643,4669,505,505,531,-2
9,70,4191,100,10,4669,4776,478,478,585,-2
19,71,4199,60,20,4776,4849,577,577,650,-2
13,72,4260,200,14,4849,5061,589,589,801,-2
11,73,4325,65,12,5061,5128,736,736,803,-2
18,74,4329,40,19,5128,5170,799,799,841,-2
15,75,4348,25,16,5170,5196,822,822,848,-2
8,76,4384,25,9,5196,5222,812,812,838,-2
16,77,4517,100,17,5222,5329,705,705,812,-2
17,78,4581,65,18,5329,5396,748,748,815,-2
12,79,4726,20,13,5396,5429,670,670,703,-2
10,80,4829,75,11,5430,5506,601,601,677,-2
9,81,4898,60,10,5506,5572,608,608,674,-2
19,82,4963,70,20,5572,5647,609,609,684,-2
13,83,5076,20,14,5647,5672,571,571,596,-2
8,84,5329,25,9,5673,5700,344,344,371,-2
15,85,5361,75,16,5700,5777,339,339,416,-2
12,86,5434,75,13,5777,5853,343,343,419,-2
16,87,5460,25,17,5853,5879,393,393,419,-2
10,88,5590,100,11,5879,5985,289,289,395,-2
13,89,5677,200,14,5985,6188,308,308,511,-2
19,90,5813,200,20,6188,6396,375,375,583,-2
15,91,5860,65,16,6396,6462,536,536,602,-2
12,92,5936,100,13,6462,6569,526,526,633,-2
10,93,6112,40,11,6569,6611,457,457,499,-2
13,94,6204,70,14,6611,6687,407,407,483,-2
19,95,6412,25,20,6687,6714,275,275,302,-2
12,96,6703,100,13,6714,6822,11,11,119,-2
13,97,6852,25,14,6854,6880,2,2,28,-2
19,98,6868,25,20,6880,6906,12,12,38,-2
12,99,6947,50,13,6948,7006,1,1,59,-2
13,100,6982,20,14,7006,7040,24,24,58,-2
