patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,300,25,1,302,330,2,2,30,-1
1,1,408,20,2,408,429,0,0,21,-1
2,2,426,75,3,429,507,3,3,81,-1
0,3,481,50,1,507,559,26,26,78,-1
3,4,537,25,4,560,586,23,23,49,-1
4,5,659,70,5,659,729,0,0,70,-1
0,6,660,60,1,730,791,70,70,131,-1
3,7,687,20,4,792,813,105,105,126,-1
5,8,872,40,6,872,914,0,0,42,-1
0,10,902,20,1,914,935,12,12,33,-1
4,9,881,65,5,936,1003,55,55,122,-1
0,12,939,50,1,1003,1054,64,64,115,-1
4,16,1053,25,5,1054,1081,1,1,28,-1
5,14,1026,25,6,1081,1107,55,55,81,-1
6,11,938,75,7,1119,1196,181,181,258,-1
0,19,1155,25,1,1196,1223,41,41,68,-1
5,20,1209,60,6,1223,1284,14,14,75,-1
4,22,1232,70,5,1284,1356,52,52,124,-1
6,23,1278,25,7,1356,1382,78,78,104,-1
7,13,983,20,8,1382,1405,399,399,422,-1
5,25,1396,75,6,1405,1481,9,9,85,-1
7,26,1410,70,8,1481,1552,71,71,142,-1
4,28,1508,75,5,1552,1630,44,44,122,-1
5,30,1563,200,6,1630,1832,67,67,269,-1
4,35,1741,50,5,1832,1883,91,91,142,-1
5,36,1844,75,6,1883,1960,39,39,116,-1
6,29,1534,20,7,1960,1982,426,426,448,-1
7,33,1703,25,8,1983,2010,280,280,307,-1
4,40,1984,25,5,2010,2035,26,26,51,-1
6,41,1986,200,7,2035,2237,49,49,251,-1
5,42,2042,25,6,2238,2263,196,196,221,-1
6,44,2248,70,7,2264,2335,16,16,87,-1
7,43,2111,25,8,2335,2360,224,224,249,-1
8,15,1051,25,9,2361,2387,1310,1310,1336,-1
9,17,1133,25,10,2389,2416,1256,1256,1283,-1
10,18,1154,50,11,2416,2468,1262,1262,1314,-1
7,47,2462,40,8,2469,2509,7,7,47,-1
11,21,1211,65,12,2510,2577,1299,1299,1366,-1
8,50,2539,75,9,2578,2654,39,39,115,-1
7,54,2620,65,8,2654,2720,34,34,100,-1
9,53,2568,25,10,2721,2747,153,153,179,-1
10,52,2568,50,11,2747,2801,179,179,233,-1
7,62,2770,25,8,2803,2834,33,33,64,-1
8,61,2765,60,9,2834,2902,69,69,137,-1
9,63,2902,25,10,2902,2936,0,0,34,-1
10,64,2911,75,11,2936,3020,25,25,109,-1
7,67,2994,200,8,3021,3229,27,27,235,-1
8,69,3020,25,9,3230,3264,210,210,244,-1
9,70,3037,100,10,3264,3373,227,227,336,-1
10,72,3112,60,11,3373,3439,261,261,327,-1
8,81,3423,60,9,3439,3507,16,16,84,-1
9,84,3507,25,10,3507,3542,0,0,35,-1
11,56,2629,20,12,3542,3577,913,913,948,-1
12,24,1350,25,13,3577,3610,2227,2227,2260,-1
11,86,3594,75,12,3612,3694,18,18,100,-1
8,87,3625,25,9,3694,3727,69,69,102,-1
9,89,3644,100,10,3729,3836,85,85,192,-1
11,93,3785,40,12,3836,3885,51,51,100,-1
8,94,3885,70,9,3885,3960,0,0,75,-1
12,91,3711,200,13,3960,4174,249,249,463,-1
8,97,4126,25,9,4174,4200,48,48,74,-1
11,96,4001,100,12,4201,4310,200,200,309,-1
12,98,4190,25,13,4311,4352,121,121,162,-1
13,27,1438,25,14,4352,4392,2914,2914,2954,-1
14,31,1665,50,15,4393,4451,2728,2728,2786,-1
11,100,4434,20,12,4452,4484,18,18,50,-1
15,32,1674,50,16,4484,4542,2810,2810,2868,-1
11,101,4501,25,12,4544,4576,43,43,75,-1
12,102,4517,60,13,4577,4642,60,60,125,-1
13,103,4559,25,14,4644,4684,85,85,125,-1
11,106,4684,25,12,4684,4725,0,0,41,-1
14,104,4559,70,15,4725,4801,166,166,242,-1
12,107,4766,100,13,4801,4918,35,35,152,-1
13,108,4801,65,14,4918,4993,117,117,192,-1
14,109,4960,25,15,4993,5026,33,33,66,-1
15,105,4651,25,16,5026,5059,375,375,408,-1
12,110,5042,100,13,5060,5169,18,18,127,-1
13,111,5051,20,14,5170,5193,119,119,142,-1
