patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
1,0,236,25,2,238,268,2,2,32,0
0,1,236,25,1,313,340,77,77,104,0
3,4,415,20,4,447,469,32,32,54,0
2,2,365,75,3,366,506,1,64,141,1
3,5,473,25,4,506,533,33,33,60,0
3,8,634,25,4,698,726,64,64,92,0
4,6,545,65,5,615,834,70,221,289,1
2,7,588,50,3,657,847,69,205,259,1
5,9,650,100,6,726,909,76,156,259,1
3,11,878,40,4,910,950,32,32,72,0
4,12,886,25,5,950,977,64,64,91,0
7,13,994,25,8,1058,1084,64,64,90,0
4,14,1079,50,5,1084,1136,5,5,57,1
8,15,1129,65,9,1137,1204,8,8,75,1
1,3,371,200,2,407,1295,36,721,924,2
9,16,1226,25,10,1296,1321,70,70,95,0
7,17,1235,25,8,1321,1348,86,86,113,0
8,19,1254,40,9,1391,1432,137,137,178,0
10,20,1301,25,11,1432,1459,131,131,158,0
11,22,1417,40,12,1500,1542,83,83,125,0
12,23,1445,25,13,1542,1568,97,97,123,0
8,28,1543,20,9,1733,1754,190,190,211,0
15,29,1548,25,16,1754,1781,206,206,233,0
16,30,1552,20,17,1782,1802,230,230,250,0
10,31,1560,25,11,1803,1829,243,243,269,0
17,32,1599,20,18,1829,1850,230,230,251,0
18,33,1643,25,19,1850,1877,207,207,234,0
19,35,1694,20,20,1919,1940,225,225,246,0
20,38,1891,25,21,2024,2049,133,133,158,0
10,39,1929,20,11,2049,2072,120,120,143,0
19,41,1944,25,20,2114,2141,170,170,197,0
21,42,1974,25,22,2141,2168,167,167,194,0
22,45,2086,20,23,2251,2272,165,165,186,0
20,47,2200,20,21,2314,2335,114,114,135,0
24,50,2270,40,25,2418,2460,148,148,190,0
22,51,2276,25,23,2460,2487,184,184,211,0
26,54,2342,25,27,2571,2597,229,229,255,0
27,55,2417,40,28,2597,2639,180,180,222,0
26,58,2699,40,27,2723,2764,24,24,65,0
30,60,2732,25,31,2807,2841,75,75,109,0
27,61,2749,25,28,2841,2873,92,92,124,0
4,18,1237,65,5,1348,2907,111,1594,1670,1
31,63,2892,20,32,2950,2984,58,58,92,0
32,64,2924,25,33,2985,3018,61,61,94,0
4,66,2968,25,5,3071,3104,103,103,136,0
31,68,3002,25,32,3147,3179,145,145,177,0
30,69,3002,25,31,3180,3206,178,178,204,0
4,71,3206,25,5,3258,3291,52,52,85,0
31,74,3333,40,32,3390,3433,57,57,100,0
30,75,3358,25,31,3433,3469,75,75,111,0
1,21,1306,75,2,1459,3556,153,2169,2250,1
36,77,3533,20,37,3557,3582,24,24,49,0
30,79,3573,25,31,3624,3665,51,51,92,0
36,80,3590,20,37,3666,3690,76,76,100,0
37,81,3615,25,38,3691,3724,76,76,109,0
40,86,3724,25,41,3916,3949,192,192,225,0
30,87,3825,20,31,3949,3974,124,124,149,0
41,88,3857,40,42,3974,4017,117,117,160,0
37,89,3882,25,38,4018,4050,136,136,168,0
42,90,3916,20,43,4050,4076,134,134,160,0
43,91,3965,25,44,4077,4106,112,112,141,0
44,92,4034,20,45,4107,4134,73,73,100,0
40,93,4050,20,41,4134,4167,84,84,117,0
45,94,4067,25,46,4169,4195,102,102,128,0
42,95,4086,20,43,4196,4221,110,110,135,0
40,98,4183,40,41,4313,4363,130,130,180,0
37,99,4204,25,38,4363,4396,159,159,192,0
46,100,4213,25,47,4397,4437,184,184,224,0
42,101,4238,20,43,4437,4462,199,199,224,0
45,103,4304,25,46,4511,4544,207,207,240,0
40,105,4478,25,41,4585,4618,107,107,140,0
47,106,4494,25,48,4618,4652,124,124,158,0
48,109,4711,20,49,4736,4761,25,25,50,0
48,111,4769,20,49,4811,4838,42,42,69,0
13,24,1454,60,14,1569,4963,115,3433,3509,1
9,25,1472,60,10,1611,4995,139,3451,3523,1
7,26,1500,100,8,1651,5071,151,3453,3571,1
14,27,1504,50,15,1693,5088,189,3527,3584,1
11,34,1653,75,12,1877,5129,224,3393,3476,1
8,36,1758,100,9,1940,5200,182,3329,3442,1
8,117,5330,25,9,5346,5380,16,16,50,0
16,37,1806,65,17,1982,5412,176,3532,3606,1
15,40,1933,100,16,2073,5478,140,3439,3545,1
18,43,1978,70,19,2168,5513,190,3458,3535,1
23,46,2145,100,24,2273,5800,128,3546,3655,1
19,48,2241,100,20,2336,5874,95,3517,3633,1
21,49,2269,70,22,2378,5907,109,3565,3638,1
25,52,2278,70,26,2488,5941,210,3587,3663,1
23,121,5933,20,24,5942,5966,9,9,33,0
21,124,6072,25,22,6133,6166,61,61,94,0
25,125,6107,40,26,6166,6215,59,59,108,0
28,56,2541,50,29,2639,6274,98,3675,3733,1
22,57,2638,60,23,2681,6299,43,3594,3661,1
29,59,2726,50,30,2764,6316,38,3530,3590,1
25,127,6332,20,26,6408,6432,76,76,100,0
28,129,6382,25,29,6481,6509,99,99,127,0
33,65,2959,60,34,3019,6683,60,3640,3724,1
27,67,2984,50,28,3104,6696,120,3658,3712,1
