patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,1481,25,1,1484,1512,3,3,31,-2
0,1,1614,25,1,1616,1641,2,2,27,-2
1,2,1696,75,2,1697,1774,1,1,78,-2
0,3,1792,200,1,1794,1994,2,2,202,-2
1,4,1855,20,2,1994,2017,139,139,162,-2
1,5,2022,25,2,2025,2051,3,3,29,-2
1,6,2152,65,2,2155,2221,3,3,69,-2
1,7,2271,50,2,2272,2323,1,1,52,-2
2,8,2279,25,3,2324,2351,45,45,72,-2
3,9,2342,100,4,2351,2454,9,9,112,-2
4,10,2419,200,5,2454,2656,35,35,237,-2
1,11,2424,40,2,2656,2698,232,232,274,-2
2,12,2502,25,3,2698,2725,196,196,223,-2
5,13,2543,25,6,2726,2754,183,183,211,-2
3,14,2576,50,4,2754,2806,178,178,230,-2
4,15,2667,65,5,2806,2872,139,139,205,-2
1,16,2809,25,2,2872,2898,63,63,89,-2
5,17,2905,25,6,2906,2932,1,1,27,-2
3,18,2906,65,4,2933,3001,27,27,95,-2
4,19,2923,40,5,3001,3042,78,78,119,-2
6,20,2954,25,7,3042,3067,88,88,113,-2
1,21,3049,75,2,3067,3144,18,18,95,-2
3,22,3052,40,4,3144,3186,92,92,134,-2
5,23,3083,25,6,3186,3213,103,103,130,-2
6,24,3168,60,7,3213,3275,45,45,107,-2
3,25,3297,60,4,3298,3359,1,1,62,-2
5,26,3365,100,6,3367,3467,2,2,102,-2
6,27,3386,50,7,3467,3518,81,81,132,-2
3,28,3470,20,4,3518,3540,48,48,70,-2
7,29,3530,25,8,3540,3566,10,10,36,-2
3,30,3545,20,4,3567,3587,22,22,42,-2
5,31,3587,25,6,3587,3615,0,0,28,-2
6,32,3620,20,7,3621,3643,1,1,23,-2
5,33,3716,25,6,3718,3744,2,2,28,-2
5,34,3845,75,6,3847,3923,2,2,78,-2
8,35,4031,20,9,4035,4056,4,4,25,-2
9,36,4060,100,10,4061,4175,1,1,115,-2
8,37,4061,65,9,4175,4242,114,114,181,-2
9,38,4300,25,10,4302,4327,2,2,27,-2
8,39,4300,20,9,4327,4352,27,27,52,-2
8,40,4356,100,9,4358,4472,2,2,116,-2
