patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,1478,25,1,1481,1508,3,3,30,-1
0,1,1610,25,1,1610,1636,0,0,26,-1
1,2,1696,75,2,1696,1772,0,0,76,-1
0,3,1788,200,1,1788,1990,0,0,202,-1
1,4,1855,20,2,1991,2011,136,136,156,-1
1,5,2015,25,2,2015,2041,0,0,26,-1
1,6,2142,65,2,2142,2208,0,0,66,-1
1,7,2259,50,2,2259,2311,0,0,52,-1
2,8,2280,25,3,2312,2338,32,32,58,-1
3,9,2343,100,4,2343,2444,0,0,101,-1
1,10,2413,200,2,2444,2645,31,31,232,-1
4,11,2420,40,5,2645,2686,225,225,266,-1
2,12,2490,25,3,2686,2713,196,196,223,-1
5,13,2543,25,6,2714,2740,171,171,197,-1
3,14,2565,50,4,2740,2792,175,175,227,-1
1,15,2658,65,2,2792,2860,134,134,202,-1
4,16,2797,25,5,2860,2886,63,63,89,-1
5,17,2891,25,6,2891,2917,0,0,26,-1
3,18,2893,65,4,2917,2984,24,24,91,-1
1,19,2911,40,2,2984,3025,73,73,114,-1
6,20,2956,25,7,3025,3052,69,69,96,-1
3,21,3036,75,4,3052,3128,16,16,92,-1
4,22,3036,40,5,3128,3171,92,92,135,-1
5,23,3067,25,6,3171,3198,104,104,131,-1
6,24,3153,60,7,3198,3260,45,45,107,-1
3,25,3239,60,4,3260,3322,21,21,83,-1
5,26,3351,100,6,3351,3452,0,0,101,-1
6,27,3370,50,7,3452,3504,82,82,134,-1
3,28,3432,20,4,3504,3526,72,72,94,-1
3,29,3530,25,4,3530,3557,0,0,27,-1
7,30,3530,20,8,3557,3578,27,27,48,-1
5,31,3573,25,6,3578,3604,5,5,31,-1
6,32,3607,20,7,3607,3628,0,0,21,-1
5,33,3704,25,6,3704,3730,0,0,26,-1
5,34,3830,75,6,3830,3908,0,0,78,-1
8,35,4032,20,9,4032,4053,0,0,21,-1
8,36,4058,100,9,4058,4161,0,0,103,-1
9,37,4062,65,10,4161,4227,99,99,165,-1
9,38,4284,20,10,4284,4308,0,0,24,-1
8,39,4284,25,9,4309,4335,25,25,51,-1
8,40,4493,100,9,4493,4602,0,0,109,-1
