patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,205,25,1,207,236,2,2,31,-1
1,1,205,25,2,266,293,61,61,88,-1
2,2,343,25,3,343,369,0,0,26,-1
0,3,388,200,1,388,589,0,0,201,-1
1,4,393,20,2,590,611,197,197,218,-1
0,7,601,60,1,611,672,10,10,71,-1
1,8,615,25,2,673,699,58,58,84,-1
2,5,470,70,3,699,771,229,229,301,-1
3,6,578,25,4,771,797,193,193,219,-1
0,11,783,25,1,797,824,14,14,41,-1
4,9,625,60,5,824,884,199,199,259,-1
1,12,850,40,2,884,926,34,34,76,-1
2,13,923,75,3,926,1003,3,3,80,-1
3,14,949,75,4,1004,1080,55,55,131,-1
1,16,1036,40,2,1091,1132,55,55,96,-1
2,18,1115,100,3,1133,1234,18,18,119,-1
3,19,1161,200,4,1236,1437,75,75,276,-1
1,20,1243,25,2,1440,1466,197,197,223,-1
3,22,1448,75,4,1467,1543,19,19,95,-1
4,15,995,25,5,1543,1570,548,548,575,-1
5,10,776,25,6,1571,1597,795,795,821,-1
6,17,1054,20,7,1597,1620,543,543,566,-1
7,21,1269,100,8,1621,1721,352,352,452,-1
3,25,1624,40,4,1722,1763,98,98,139,-1
4,27,1671,100,5,1763,1865,92,92,194,-1
5,28,1698,50,6,1865,1916,167,167,218,-1
3,32,1874,25,4,1917,1943,43,43,69,-1
6,26,1625,70,7,1944,2014,319,319,389,-1
4,34,1986,25,5,2014,2041,28,28,55,-1
5,35,2017,25,6,2041,2068,24,24,51,-1
8,23,1515,25,9,2068,2094,553,553,579,-1
3,36,2094,75,4,2094,2171,0,0,77,-1
5,38,2170,100,6,2171,2274,1,1,104,-1
6,37,2165,100,7,2274,2376,109,109,211,-1
3,40,2281,200,4,2376,2577,95,95,296,-1
5,41,2395,70,6,2577,2649,182,182,254,-1
6,44,2497,25,7,2650,2677,153,153,180,-1
8,39,2196,65,9,2677,2744,481,481,548,-1
9,24,1588,60,10,2744,2805,1156,1156,1217,-1
10,29,1716,40,11,2805,2846,1089,1089,1130,-1
6,48,2828,50,7,2847,2898,19,19,70,-1
11,30,1743,70,12,2899,2970,1156,1156,1227,-1
10,50,2958,100,11,2970,3071,12,12,113,-1
6,51,2998,25,7,3071,3098,73,73,100,-1
12,31,1822,40,13,3099,3140,1277,1277,1318,-1
11,53,3120,20,12,3140,3161,20,20,41,-1
13,33,1877,25,14,3162,3187,1285,1285,1310,-1
11,54,3165,25,12,3190,3217,25,25,52,-1
10,55,3193,70,11,3225,3296,32,32,103,-1
6,57,3254,25,7,3296,3321,42,42,67,-1
12,58,3254,40,13,3321,3362,67,67,108,-1
13,59,3338,25,14,3363,3389,25,25,51,-1
11,60,3373,50,12,3390,3440,17,17,67,-1
14,42,2424,60,15,3440,3502,1016,1016,1078,-1
10,62,3447,25,11,3502,3529,55,55,82,-1
12,63,3473,20,13,3529,3549,56,56,76,-1
11,65,3541,200,12,3550,3752,9,9,211,-1
10,68,3630,20,11,3752,3773,122,122,143,-1
11,70,3763,70,12,3773,3844,10,10,81,-1
10,71,3777,75,11,3844,3920,67,67,143,-1
12,66,3553,60,13,3920,3982,367,367,429,-1
13,64,3491,200,14,3982,4184,491,491,693,-1
10,74,4001,100,11,4184,4287,183,183,286,-1
11,73,3995,25,12,4287,4313,292,292,318,-1
13,77,4196,70,14,4313,4391,117,117,195,-1
14,67,3613,25,15,4393,4419,780,780,806,-1
15,43,2485,50,16,4419,4469,1934,1934,1984,-1
16,45,2534,65,17,4469,4537,1935,1935,2003,-1
17,46,2661,50,18,4537,4589,1876,1876,1928,-1
13,81,4545,25,14,4589,4615,44,44,70,-1
14,82,4570,60,15,4615,4683,45,45,113,-1
15,83,4579,25,16,4683,4709,104,104,130,-1
16,84,4589,50,17,4709,4761,120,120,172,-1
17,85,4699,25,18,4761,4786,62,62,87,-1
13,86,4777,65,14,4786,4853,9,9,76,-1
15,87,4822,65,16,4853,4919,31,31,97,-1
13,89,4914,25,14,4919,4946,5,5,32,-1
17,88,4899,60,18,4946,5014,47,47,115,-1
15,90,4972,75,16,5014,5091,42,42,119,-1
18,47,2725,25,19,5091,5118,2366,2366,2393,-1
19,49,2829,100,20,5118,5220,2289,2289,2391,-1
15,91,5203,40,16,5220,5269,17,17,66,-1
18,92,5269,25,19,5269,5296,0,0,27,-1
20,52,3030,60,21,5296,5363,2266,2266,2333,-1
19,93,5346,20,20,5363,5389,17,17,43,-1
15,94,5381,200,16,5390,5595,9,9,214,-1
19,95,5393,25,20,5595,5621,202,202,228,-1
20,96,5484,65,21,5621,5687,137,137,203,-1
21,56,3206,100,22,5687,5795,2481,2481,2589,-1
19,97,5729,40,20,5795,5845,66,66,116,-1
20,98,5746,75,21,5845,5922,99,99,176,-1
22,61,3382,200,23,5922,6124,2540,2540,2742,-1
19,100,5957,20,20,6124,6157,167,167,200,-1
20,101,6006,70,21,6158,6228,152,152,222,-1
19,103,6162,25,20,6228,6255,66,66,93,-1
21,99,5931,100,22,6255,6355,324,324,424,-1
22,102,6140,75,23,6356,6433,216,216,293,-1
19,105,6417,20,20,6433,6456,16,16,39,-1
20,104,6387,60,21,6457,6518,70,70,131,-1
19,106,6460,65,20,6518,6584,58,58,124,-1
21,107,6477,75,22,6584,6661,107,107,184,-1
20,109,6633,25,21,6661,6688,28,28,55,-1
22,108,6556,70,23,6688,6771,132,132,215,-1
21,110,6754,75,22,6771,6847,17,17,93,-1
20,111,6801,25,21,6847,6874,46,46,73,-1
23,69,3716,65,24,6874,6940,3158,3158,3224,-1
22,112,6923,75,23,6940,7016,17,17,93,-1
23,113,7003,20,24,7016,7040,13,13,37,-1
24,72,3889,100,25,7041,7142,3152,3152,3253,-1
23,114,7044,40,24,7142,7184,98,98,140,-1
25,75,4120,60,26,7185,7258,3065,3065,3138,-1
26,76,4139,75,27,7258,7335,3119,3119,3196,-1
23,116,7298,20,24,7335,7368,37,37,70,-1
24,115,7267,20,25,7369,7390,102,102,123,-1
23,117,7373,70,24,7391,7462,18,18,89,-1
24,118,7394,75,25,7462,7539,68,68,145,-1
26,119,7420,65,27,7539,7605,119,119,185,-1
27,78,4232,25,28,7605,7631,3373,3373,3399,-1
24,120,7627,40,25,7631,7673,4,4,46,-1
26,121,7656,25,27,7673,7699,17,17,43,-1
