patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,675,25,1,677,703,2,2,28,-1
1,1,988,20,2,988,1011,0,0,23,-1
1,2,1015,75,2,1015,1092,0,0,77,-1
2,3,1152,50,3,1152,1203,0,0,51,-1
1,4,1173,25,2,1204,1229,31,31,56,-1
2,5,1305,70,3,1305,1376,0,0,71,-1
2,6,1527,60,3,1527,1589,0,0,62,-1
3,7,2343,20,4,2344,2365,1,1,22,-1
3,8,2369,40,4,2369,2409,0,0,40,-1
3,9,2520,65,4,2520,2586,0,0,66,-1
3,10,2637,20,4,2637,2658,0,0,21,-1
3,11,2662,75,4,2662,2738,0,0,76,-1
3,12,2818,50,4,2818,2871,0,0,53,-1
3,13,2973,20,4,2973,2994,0,0,21,-1
4,14,3103,25,5,3103,3129,0,0,26,-1
5,15,3190,25,6,3190,3216,0,0,26,-1
4,16,3230,25,5,3230,3257,0,0,27,-1
5,17,3366,25,6,3366,3392,0,0,26,-1
4,18,3408,50,5,3408,3459,0,0,51,-1
6,19,3413,25,7,3459,3486,46,46,73,-1
7,20,3459,60,8,3486,3547,27,27,88,-1
8,21,3523,65,9,3547,3614,24,24,91,-1
4,23,3561,25,5,3614,3640,53,53,79,-1
6,24,3589,25,7,3640,3668,51,51,79,-1
5,22,3543,70,6,3668,3740,125,125,197,-1
8,25,3666,75,9,3740,3818,74,74,152,-1
4,27,3791,25,5,3818,3873,27,27,82,-1
6,26,3768,70,7,3874,3944,106,106,176,-1
8,29,3898,20,9,3944,3966,46,46,68,-1
5,28,3890,75,6,3966,4042,76,76,152,-1
4,31,4025,50,5,4042,4093,17,17,68,-1
8,30,3970,200,9,4093,4297,123,123,327,-1
5,33,4152,25,6,4297,4324,145,145,172,-1
6,32,4095,50,7,4324,4381,229,229,286,-1
9,35,4198,50,10,4382,4439,184,184,241,-1
4,34,4194,65,5,4439,4506,245,245,312,-1
6,37,4486,25,7,4506,4532,20,20,46,-1
5,36,4431,75,6,4532,4609,101,101,178,-1
9,38,4549,60,10,4609,4683,60,60,134,-1
6,39,4634,200,7,4683,4886,49,49,252,-1
9,40,4805,25,10,4886,4912,81,81,107,-1
9,41,5020,200,10,5020,5225,0,0,205,-1
9,42,5249,25,10,5249,5276,0,0,27,-1
9,43,5432,25,10,5432,5459,0,0,27,-1
9,44,5566,70,10,5566,5641,0,0,75,-1
