patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,237,25,1,239,265,2,2,28,-1
1,1,238,25,2,321,347,83,83,109,-1
2,2,341,25,3,347,374,6,6,33,-1
3,3,355,200,4,374,574,19,19,219,-1
0,5,419,70,1,574,646,155,155,227,-1
1,6,448,25,2,646,673,198,198,225,-1
2,7,475,60,3,673,734,198,198,259,-1
3,9,586,60,4,734,796,148,148,210,-1
4,4,416,20,5,796,817,380,380,401,-1
0,12,799,40,1,818,859,19,19,60,-1
1,14,826,75,2,859,935,33,33,109,-1
2,15,846,25,3,935,962,89,89,116,-1
3,16,907,40,4,962,1003,55,55,96,-1
0,17,970,20,1,1003,1024,33,33,54,-1
1,18,1016,100,2,1024,1126,8,8,110,-1
0,19,1028,200,1,1126,1327,98,98,299,-1
1,24,1246,60,2,1327,1388,81,81,142,-1
0,28,1338,50,1,1388,1441,50,50,103,-1
2,21,1063,100,3,1441,1542,378,378,479,-1
1,29,1499,40,2,1542,1583,43,43,84,-1
3,22,1119,75,4,1583,1659,464,464,540,-1
4,13,821,75,5,1659,1735,838,838,914,-1
1,34,1693,25,2,1735,1761,42,42,68,-1
3,36,1740,75,4,1762,1838,22,22,98,-1
5,8,578,25,6,1838,1864,1260,1260,1286,-1
4,40,1847,200,5,1864,2066,17,17,219,-1
3,43,1949,50,4,2066,2118,117,117,169,-1
5,44,2014,25,6,2118,2144,104,104,130,-1
6,10,625,25,7,2144,2170,1519,1519,1545,-1
7,11,778,25,8,2170,2196,1392,1392,1418,-1
8,20,1044,25,9,2196,2222,1152,1152,1178,-1
9,23,1239,25,10,2222,2248,983,983,1009,-1
10,25,1265,40,11,2248,2290,983,983,1025,-1
6,45,2271,65,7,2290,2357,19,19,86,-1
5,47,2296,50,6,2357,2409,61,61,113,-1
6,53,2408,20,7,2409,2430,1,1,22,-1
7,46,2296,25,8,2431,2457,135,135,161,-1
6,56,2434,100,7,2457,2557,23,23,123,-1
5,59,2510,25,6,2557,2584,47,47,74,-1
8,49,2373,100,9,2584,2684,211,211,311,-1
5,64,2684,200,6,2684,2893,0,0,209,-1
6,63,2678,20,7,2893,2918,215,215,240,-1
5,69,2918,65,6,2918,2984,0,0,66,-1
7,61,2607,200,8,2985,3197,378,378,590,-1
5,71,3043,75,6,3198,3280,155,155,237,-1
7,72,3212,100,8,3280,3396,68,68,184,-1
5,74,3376,100,6,3397,3505,21,21,129,-1
8,66,2804,60,9,3506,3578,702,702,774,-1
7,76,3526,75,8,3579,3663,53,53,137,-1
9,48,2349,50,10,3664,3730,1315,1315,1381,-1
8,79,3695,25,9,3731,3762,36,36,67,-1
7,82,3747,60,8,3762,3830,15,15,83,-1
10,52,2401,60,11,3830,3894,1429,1429,1493,-1
8,84,3878,50,9,3894,3945,16,16,67,-1
7,86,3946,65,8,3947,4017,1,1,71,-1
9,83,3846,25,10,4017,4046,171,171,200,-1
11,26,1268,70,12,4047,4130,2779,2779,2862,-1
8,88,4062,60,9,4130,4197,68,68,135,-1
9,92,4154,25,10,4197,4229,43,43,75,-1
12,27,1278,100,13,4230,4343,2952,2952,3065,-1
9,96,4343,65,10,4343,4424,0,0,81,-1
13,30,1516,70,14,4424,4496,2908,2908,2980,-1
9,98,4475,40,10,4497,4546,22,22,71,-1
12,97,4475,75,13,4549,4626,74,74,151,-1
14,31,1524,40,15,4626,4679,3102,3102,3155,-1
13,99,4651,100,14,4679,4782,28,28,131,-1
12,100,4710,20,13,4782,4811,72,72,101,-1
15,32,1589,25,16,4811,4843,3222,3222,3254,-1
12,102,4827,75,13,4843,4919,16,16,92,-1
13,103,4911,25,14,4919,4946,8,8,35,-1
16,33,1600,25,17,4948,4978,3348,3348,3378,-1
17,35,1717,25,18,4978,5010,3261,3261,3293,-1
15,104,4994,60,16,5010,5074,16,16,80,-1
18,37,1744,100,19,5074,5176,3330,3330,3432,-1
13,106,5112,65,14,5176,5247,64,64,135,-1
15,107,5192,75,16,5247,5329,55,55,137,-1
13,108,5303,70,14,5330,5401,27,27,98,-1
17,105,5112,20,18,5401,5426,289,289,314,-1
15,110,5412,75,16,5426,5512,14,14,100,-1
17,111,5435,25,18,5512,5545,77,77,110,-1
18,109,5303,25,19,5546,5576,243,243,273,-1
13,112,5560,75,14,5576,5661,16,16,101,-1
15,113,5600,20,16,5661,5686,61,61,86,-1
18,114,5677,40,19,5686,5729,9,9,52,-1
15,115,5696,20,16,5729,5761,33,33,65,-1
17,116,5710,20,18,5761,5794,51,51,84,-1
13,117,5777,70,14,5794,5873,17,17,96,-1
18,118,5842,75,19,5873,5956,31,31,114,-1
19,38,1820,100,20,5956,6062,4136,4136,4242,-1
20,39,1821,65,21,6064,6145,4243,4243,4324,-1
21,41,1878,70,22,6146,6227,4268,4268,4349,-1
19,119,6196,65,20,6227,6293,31,31,97,-1
20,120,6211,40,21,6293,6342,82,82,131,-1
22,42,1943,60,23,6342,6411,4399,4399,4468,-1
19,121,6350,25,20,6411,6451,61,61,101,-1
21,122,6382,60,22,6451,6526,69,69,144,-1
20,123,6462,100,21,6526,6642,64,64,180,-1
19,125,6562,75,20,6642,6722,80,80,160,-1
21,126,6642,50,22,6722,6778,80,80,136,-1
20,127,6778,25,21,6778,6810,0,0,32,-1
22,124,6526,25,23,6810,6836,284,284,310,-1
23,50,2374,100,24,6836,6942,4462,4462,4568,-1
20,128,6913,100,21,6942,7046,29,29,133,-1
22,129,6942,50,23,7046,7104,104,104,162,-1
23,130,7066,50,24,7104,7162,38,38,96,-1
24,51,2389,25,25,7162,7208,4773,4773,4819,-1
20,131,7171,25,21,7210,7242,39,39,71,-1
22,132,7212,100,23,7242,7345,30,30,133,-1
23,133,7276,50,24,7345,7401,69,69,125,-1
24,134,7368,75,25,7401,7484,33,33,116,-1
25,54,2410,25,26,7484,7511,5074,5074,5101,-1
23,135,7506,60,24,7512,7575,6,6,69,-1
26,55,2424,70,27,7575,7658,5151,5151,5234,-1
