patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,242,25,1,244,272,2,2,30,-1
1,1,242,25,2,312,338,70,70,96,-1
2,2,366,75,3,366,443,0,0,77,-1
3,3,417,200,4,445,646,28,28,229,-1
1,4,489,20,2,647,668,158,158,179,-1
2,5,525,25,3,669,694,144,144,169,-1
4,6,546,65,5,695,761,149,149,215,-1
5,7,653,50,6,762,813,109,109,160,-1
6,8,655,25,7,813,840,158,158,185,-1
3,9,659,100,4,841,943,182,182,284,-1
1,10,672,200,2,952,1155,280,280,483,-1
4,11,813,40,5,1155,1197,342,342,384,-1
6,12,991,25,7,1198,1225,207,207,234,-1
7,13,1003,25,8,1226,1253,223,223,250,-1
3,14,1065,50,4,1254,1304,189,189,239,-1
8,15,1123,65,9,1305,1372,182,182,249,-1
1,16,1166,25,2,1372,1398,206,206,232,-1
9,17,1228,25,10,1400,1426,172,172,198,-1
10,18,1302,65,11,1427,1493,125,125,191,-1
4,19,1309,40,5,1493,1534,184,184,225,-1
6,20,1326,25,7,1535,1561,209,209,235,-1
7,21,1405,40,8,1561,1604,156,156,199,-1
3,22,1405,75,4,1605,1680,200,200,275,-1
11,23,1419,25,12,1680,1706,261,261,287,-1
8,24,1423,60,9,1706,1769,283,283,346,-1
12,25,1447,60,13,1770,1831,323,323,384,-1
13,26,1455,100,14,1831,1934,376,376,479,-1
14,27,1505,50,15,1934,1984,429,429,479,-1
10,28,1544,20,11,1984,2006,440,440,462,-1
15,29,1549,25,16,2006,2032,457,457,483,-1
1,30,1550,20,2,2032,2055,482,482,505,-1
16,31,1553,25,17,2055,2082,502,502,529,-1
9,32,1577,20,10,2083,2103,506,506,526,-1
17,33,1601,25,18,2103,2130,502,502,529,-1
18,34,1644,75,19,2130,2206,486,486,562,-1
4,35,1645,20,5,2206,2227,561,561,582,-1
6,36,1662,100,7,2227,2329,565,565,667,-1
19,37,1695,65,20,2329,2395,634,634,700,-1
7,38,1714,25,8,2395,2422,681,681,708,-1
11,39,1857,20,12,2422,2443,565,565,586,-1
8,40,1880,100,9,2443,2544,563,563,664,-1
20,41,1893,25,21,2544,2570,651,651,677,-1
21,42,1975,25,22,2571,2596,596,596,621,-1
10,43,2010,70,11,2596,2668,586,586,658,-1
14,44,2086,200,15,2668,2869,582,582,783,-1
22,45,2088,20,23,2869,2904,781,781,816,-1
23,46,2147,100,24,2904,3011,757,757,864,-1
15,47,2184,20,16,3011,3036,827,827,852,-1
16,48,2184,100,17,3038,3149,854,854,965,-1
4,49,2231,70,5,3149,3227,918,918,996,-1
24,50,2271,40,25,3228,3270,957,957,999,-1
25,51,2279,25,26,3271,3303,992,992,1024,-1
18,52,2317,70,19,3303,3377,986,986,1060,-1
26,53,2342,200,27,3379,3588,1037,1037,1246,-1
27,54,2419,25,28,3588,3618,1169,1169,1199,-1
11,55,2447,40,12,3618,3660,1171,1171,1213,-1
19,56,2447,50,20,3660,3719,1213,1213,1272,-1
6,57,2451,60,7,3719,3785,1268,1268,1334,-1
28,58,2542,40,29,3786,3843,1244,1244,1301,-1
7,59,2573,50,8,3844,3902,1271,1271,1329,-1
8,60,2665,25,9,3902,3934,1237,1237,1269,-1
20,61,2671,25,21,3935,3968,1264,1264,1297,-1
21,62,2697,200,22,3976,4185,1279,1279,1488,-1
29,63,2728,20,30,4185,4217,1457,1457,1489,-1
30,64,2733,25,31,4217,4258,1484,1484,1525,-1
10,65,2818,60,11,4259,4330,1441,1441,1512,-1
31,66,2886,50,32,4332,4389,1446,1446,1503,-1
14,67,2886,25,15,4389,4422,1503,1503,1536,-1
22,68,2920,25,23,4422,4455,1502,1502,1535,-1
32,69,2928,25,33,4456,4488,1528,1528,1560,-1
33,70,2961,100,34,4489,4597,1528,1528,1636,-1
15,71,3045,25,16,4597,4630,1552,1552,1585,-1
23,72,3137,65,24,4630,4706,1493,1493,1569,-1
34,73,3229,70,35,4706,4783,1477,1477,1554,-1
35,74,3311,40,36,4784,4826,1473,1473,1515,-1
4,75,3385,25,5,4826,4859,1441,1441,1474,-1
25,76,3469,70,26,4860,4941,1391,1391,1472,-1
36,77,3532,50,37,4942,5000,1410,1410,1468,-1
18,78,3532,20,19,5001,5025,1469,1469,1493,-1
26,79,3603,25,27,5026,5059,1423,1423,1456,-1
37,80,3618,20,38,5059,5081,1441,1441,1463,-1
38,81,3625,25,39,5082,5109,1457,1457,1484,-1
39,82,3677,70,40,5110,5184,1433,1433,1507,-1
27,83,3719,65,28,5185,5258,1466,1466,1539,-1
40,84,3727,65,41,5259,5333,1532,1532,1606,-1
11,85,3776,100,12,5334,5443,1558,1558,1667,-1
19,86,3826,25,20,5443,5477,1617,1617,1651,-1
41,87,3852,20,42,5477,5501,1625,1625,1649,-1
6,88,3902,40,7,5501,5542,1599,1599,1640,-1
42,89,3910,25,43,5542,5575,1632,1632,1665,-1
28,90,3969,20,29,5577,5609,1608,1608,1640,-1
43,91,3969,25,44,5609,5642,1640,1640,1673,-1
44,92,4035,20,45,5643,5676,1608,1608,1641,-1
45,93,4068,20,46,5676,5701,1608,1608,1633,-1
20,94,4076,25,21,5701,5733,1625,1625,1657,-1
8,95,4093,20,9,5735,5766,1642,1642,1673,-1
21,96,4201,50,22,5766,5824,1565,1565,1623,-1
46,97,4209,200,47,5824,6030,1615,1615,1821,-1
29,98,4225,40,30,6031,6071,1806,1806,1846,-1
30,99,4364,25,31,6072,6113,1708,1708,1749,-1
10,100,4447,25,11,6113,6145,1666,1666,1698,-1
47,101,4489,20,48,6145,6179,1656,1656,1690,-1
31,102,4496,100,32,6179,6285,1683,1683,1789,-1
14,103,4530,25,15,6285,6318,1755,1755,1788,-1
22,104,4622,50,23,6318,6377,1696,1696,1755,-1
32,105,4647,25,33,6377,6410,1730,1730,1763,-1
48,106,4706,25,49,6410,6452,1704,1704,1746,-1
33,107,4723,75,34,6452,6534,1729,1729,1811,-1
23,108,4758,75,24,6534,6618,1776,1776,1860,-1
15,109,4784,65,16,6618,6695,1834,1834,1911,-1
35,110,4942,20,36,6696,6720,1754,1754,1778,-1
4,111,4966,20,5,6720,6744,1754,1754,1778,-1
