patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,674,25,1,676,703,2,2,29,-1
1,1,993,20,2,993,1013,0,0,20,-1
1,2,1018,75,2,1018,1094,0,0,76,-1
2,3,1152,50,3,1152,1204,0,0,52,-1
1,4,1175,25,2,1205,1230,30,30,55,-1
2,5,1305,70,3,1305,1376,0,0,71,-1
2,6,1529,60,3,1529,1590,0,0,61,-1
3,7,2339,20,4,2340,2361,1,1,22,-1
3,8,2365,40,4,2365,2406,0,0,41,-1
3,9,2518,65,4,2518,2584,0,0,66,-1
3,10,2636,20,4,2636,2657,0,0,21,-1
3,11,2661,75,4,2661,2738,0,0,77,-1
3,12,2819,50,4,2819,2870,0,0,51,-1
3,13,2971,20,4,2971,2992,0,0,21,-1
4,14,3103,25,5,3103,3131,0,0,28,-1
5,15,3190,25,6,3190,3215,0,0,25,-1
4,16,3233,25,5,3233,3259,0,0,26,-1
5,17,3366,25,6,3366,3392,0,0,26,-1
4,18,3411,50,5,3411,3462,0,0,51,-1
6,19,3414,25,7,3462,3488,48,48,74,-1
7,20,3459,60,8,3489,3550,30,30,91,-1
8,21,3523,65,9,3550,3616,27,27,93,-1
5,22,3544,70,6,3616,3687,72,72,143,-1
4,23,3564,25,5,3687,3714,123,123,150,-1
6,24,3589,25,7,3714,3741,125,125,152,-1
8,25,3666,75,9,3741,3817,75,75,151,-1
5,26,3838,70,6,3838,3909,0,0,71,-1
6,27,3842,25,7,3909,3935,67,67,93,-1
4,28,3866,75,5,3935,4011,69,69,145,-1
8,29,3898,20,9,4011,4032,113,113,134,-1
8,30,4036,200,9,4036,4238,0,0,202,-1
5,31,4060,50,6,4238,4296,178,178,236,-1
6,32,4086,50,7,4296,4361,210,210,275,-1
4,33,4123,25,5,4361,4387,238,238,264,-1
9,34,4197,65,10,4387,4454,190,190,257,-1
5,35,4406,50,6,4454,4512,48,48,106,-1
6,36,4469,75,7,4512,4588,43,43,119,-1
4,37,4495,25,5,4588,4615,93,93,120,-1
9,38,4512,60,10,4615,4681,103,103,169,-1
6,39,4673,200,7,4681,4887,8,8,214,-1
9,40,4797,25,10,4887,4914,90,90,117,-1
9,41,5020,200,10,5020,5225,0,0,205,-1
9,42,5240,25,10,5240,5267,0,0,27,-1
9,43,5424,25,10,5424,5450,0,0,26,-1
9,44,5551,70,10,5551,5623,0,0,72,-1
